Title,release_year,imdb_id,poster,tmdb_id,cast,director,genres,production_companies
Leap Year,2010,tt1216492,https://m.media-amazon.com/images/M/MV5BMTgzMTQ2MDQxMF5BMl5BanBnXkFtZTcwODEzOTg5Mg@@._V1_.jpg,25195,"['Amy Adams', 'Matthew Goode', 'John Lithgow', 'Flaminia Cinque', 'Tony Rohr', 'Pat Laffan']",Anand Tucker,"['Romance', 'Comedy']","['Birnbaum / Barber Productions', 'Universal Pictures', 'Spyglass Entertainment', 'Octagon Films', 'BenderSpink']"
Crazy on the Outside,2010,tt1196134,https://m.media-amazon.com/images/M/MV5BMTgzMjgzNjcyNF5BMl5BanBnXkFtZTcwNjQ0OTEwMw@@._V1_.jpg,35458,"['Tim Allen', 'Sigourney Weaver', 'Ray Liotta', 'J.K. Simmons', 'Julie Bowen', 'Kelsey Grammer']",Tim Allen,"['Comedy', 'Romance']",[]
Wonderful World,2010,tt6622356,https://m.media-amazon.com/images/M/MV5BY2EwMWY0MGItZDJhNy00ZjdmLWE4NzQtYWNhYmU5YmI3YTMzXkEyXkFqcGdeQXVyNjU3Mjc5MjE@._V1_.jpg,451573,"['Mamoru Miyano', 'Ayumi Uehara', 'Daisuke Namikawa', 'Yuka Hirata', 'Showtaro Morikubo', 'Tomokazu Sugita']",Daisuke Namikawa,[],[]
The Book of Eli,2010,tt1037705,https://m.media-amazon.com/images/M/MV5BNTE1OWI1YzgtZjEyMy00MjQ4LWE0NWMtYTNhYjc0ZDQ3ZGRkXkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_.jpg,20504,"['Denzel Washington', 'Gary Oldman', 'Mila Kunis', 'Ray Stevenson', 'Jennifer Beals', 'Michael Gambon']",Albert Hughes,"['Action', 'Thriller', 'Science Fiction']","['Alcon Entertainment', 'Silver Pictures']"
The Spy Next Door,2010,tt1273678,https://m.media-amazon.com/images/M/MV5BMTI5MjEzMjM4N15BMl5BanBnXkFtZTcwODc0ODEwMw@@._V1_.jpg,23172,"['Jackie Chan', 'Amber Valletta', 'Madeline Carroll', 'Alina Foley', 'Magnús Scheving', 'Billy Ray Cyrus']",Brian Levant,"['Action', 'Comedy', 'Family']","['Spy Next Door', 'Relativity Media', 'Robert Simonds Productions', 'Lionsgate', 'Mandate International']"
Extraordinary Measures,2010,tt1244659,https://m.media-amazon.com/images/M/MV5BMTQ2Mjg5MDEyNV5BMl5BanBnXkFtZTcwMjkxMDAxMw@@._V1_.jpg,27569,"['Brendan Fraser', 'Harrison Ford', 'Keri Russell', 'Courtney B. Vance', 'Meredith Droeger', 'Diego Velazquez']",Tom Vaughan,['Drama'],"['Double Feature Films', 'CBS Films']"
Legion,2010,tt1038686,https://m.media-amazon.com/images/M/MV5BMTMzNDg4NjYxOV5BMl5BanBnXkFtZTcwODQyNDg3Mg@@._V1_.jpg,22894,"['Paul Bettany', 'Dennis Quaid', 'Lucas Black', 'Kate Walsh', 'Tyrese Gibson', 'Adrianne Palicki']",Scott Stewart,"['Horror', 'Action', 'Fantasy']","['Screen Gems', 'Bold Films']"
Tooth Fairy,2010,tt0808510,https://m.media-amazon.com/images/M/MV5BMTQ4NjQzMjQxNF5BMl5BanBnXkFtZTcwNTEzMDY4Mg@@._V1_.jpg,23023,"['Dwayne Johnson', 'Stephen Merchant', 'Ashley Judd', 'Julie Andrews', 'Ryan Sheckler', 'Seth MacFarlane']",Michael Lembeck,"['Comedy', 'Family', 'Fantasy']","['Dune Entertainment', 'Dune Entertainment III', 'Walden Media', 'Mayhem Pictures', '20th Century Fox', 'Blumhouse Productions']"
Edge of Darkness,2010,tt1226273,https://m.media-amazon.com/images/M/MV5BMTczMDk5MTg5Ml5BMl5BanBnXkFtZTcwOTYyMjE5Mg@@._V1_.jpg,12201,"['Mel Gibson', 'Ray Winstone', 'Danny Huston', 'Bojana Novaković', 'Shawn Roberts', 'David Aaron Baker']",Martin Campbell,"['Crime', 'Drama', 'Mystery', 'Thriller']","['Icon Productions', 'GK Films', 'BBC Film', 'Warner Bros. Pictures']"
When in Rome,2010,tt1185416,https://m.media-amazon.com/images/M/MV5BMTM0OTQ3MjgzN15BMl5BanBnXkFtZTcwMjMyNzg3Mg@@._V1_.jpg,13477,"['Josh Duhamel', 'Kristen Bell', 'Anjelica Huston', 'Will Arnett', 'Jon Heder', 'Dax Shepard']",Mark Steven Johnson,"['Comedy', 'Fantasy', 'Romance']","['Krasnoff / Foster Entertainment', 'Touchstone Pictures', 'Film Production Consultants']"
Preacher's Kid,2010,tt1328913,https://m.media-amazon.com/images/M/MV5BMjMxNzE0OTk4NV5BMl5BanBnXkFtZTgwNjA3NDcwMzE@._V1_.jpg,35716,"['LeToya Luckett', 'Gregory Alan Williams', 'Sharif Atkins', 'Tank', 'Essence Atkins', ""Rae'Ven Larrymore Kelly""]",Stan Foster,"['Drama', 'Family']","['Epidemic Pictures', 'Warner Premiere', 'Genera8Xion Entertainment']"
Dear John,2010,tt0989757,https://m.media-amazon.com/images/M/MV5BMTk1NDEzMTU5NV5BMl5BanBnXkFtZTcwNTI3MTk5Mg@@._V1_.jpg,22971,"['Amanda Seyfried', 'Channing Tatum', 'Richard Jenkins', 'Henry Thomas', 'D.J. Cotrona', 'Cullen Moss']",Lasse Hallström,"['Drama', 'Romance', 'War']","['Screen Gems', 'Relativity Media', 'Mandate International', 'Temple Hill Entertainment']"
Frozen,2010,tt1323045,https://m.media-amazon.com/images/M/MV5BMTc5MTg0ODgxMF5BMl5BanBnXkFtZTcwODEzOTYwMw@@._V1_.jpg,44363,"['Emma Bell', 'Shawn Ashmore', 'Kevin Zegers', 'Ed Ackerman', 'Rileah Vanderbilt', 'Kane Hodder']",Adam Green,['Thriller'],"['ArieScope Pictures', 'A Bigger Boat']"
Percy Jackson & the Olympians: The Lightning Thief,2010,tt0814255,https://m.media-amazon.com/images/M/MV5BMTQ5NDlmZWUtMjIyMC00NzQ3LTg3OWYtMzRkY2FiNzQ0Njc4XkEyXkFqcGdeQXVyNDQ2MTMzODA@._V1_.jpg,32657,"['Logan Lerman', 'Brandon T. Jackson', 'Alexandra Daddario', 'Jake Abel', 'Pierce Brosnan', 'Sean Bean']",Chris Columbus,"['Adventure', 'Fantasy', 'Family']","['1492 Pictures', 'Sunswept Entertainment', 'Dune Entertainment']"
My Name Is Khan,2010,tt1188996,https://m.media-amazon.com/images/M/MV5BMTUyMTA4NDYzMV5BMl5BanBnXkFtZTcwMjk5MzcxMw@@._V1_.jpg,26022,"['Shah Rukh Khan', 'Kajol', 'Jimmy Shergill', 'Sonya Jehan', 'Arjan Aujla', 'Zarina Wahab']",Karan Johar,"['Drama', 'Romance']","['Dharma Productions', 'Fox Searchlight Pictures', 'Red Chillies Entertainment', 'Star Studios', 'Imagenation Abu Dhabi FZ']"
Valentine's Day,2010,tt0817230,https://m.media-amazon.com/images/M/MV5BMTk3MTIwNDIxNF5BMl5BanBnXkFtZTcwMDMyMzcwMw@@._V1_.jpg,32856,"['Julia Roberts', 'Bradley Cooper', 'Anne Hathaway', 'Taylor Swift', 'Patrick Dempsey', 'Eric Dane']",Garry Marshall,"['Comedy', 'Romance']","['Karz Entertainment', 'New Line Cinema', 'Rice Films']"
The Wolfman,2010,tt0780653,https://m.media-amazon.com/images/M/MV5BOTUyODEyMDIyM15BMl5BanBnXkFtZTcwNTYxMzg5Mg@@._V1_.jpg,7978,"['Benicio del Toro', 'Anthony Hopkins', 'Emily Blunt', 'Hugo Weaving', 'Geraldine Chaplin', 'Art Malik']",Joe Johnston,"['Horror', 'History', 'Drama', 'Thriller']","['Universal Pictures', 'Relativity Media', 'Stuber Productions']"
Celine: Through the Eyes of the World,2010,tt1570982,https://m.media-amazon.com/images/M/MV5BMTMxNjg3MjQ4NF5BMl5BanBnXkFtZTcwNzU4ODkxMw@@._V1_.jpg,37925,"['Céline Dion', 'René Angélil', 'René-Charles Angélil', 'Claudette Dion', 'Thérèse Tanguay-Dion']",Stéphane Laporte,"['Documentary', 'Music']",[]
The Ghost Writer,2010,tt1139328,https://m.media-amazon.com/images/M/MV5BMTI3NzMwMzkyNV5BMl5BanBnXkFtZTcwODk4NjQxMw@@._V1_.jpg,11439,"['Ewan McGregor', 'Pierce Brosnan', 'Kim Cattrall', 'Olivia Williams', 'Tom Wilkinson', 'Timothy Hutton']",Roman Polanski,"['Thriller', 'Mystery']","['R.P. Productions', 'Studio Babelsberg', 'Runteam', 'France 2 Cinéma', 'Summit Entertainment', 'FFA', 'Medienboard Berlin-Brandenburg', 'FilmFörderung Hamburg', 'Mecklenburg Vorpommern', 'France Télévisions', 'Bogard', '321 Films', 'R.P. Films', 'Elfte Babelsberg Film GmbH', 'Runteam III Ltd.', 'Pathé', 'StudioCanal']"
Shutter Island,2010,tt1130884,https://m.media-amazon.com/images/M/MV5BYzhiNDkyNzktNTZmYS00ZTBkLTk2MDAtM2U0YjU1MzgxZjgzXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_.jpg,11324,"['Leonardo DiCaprio', 'Mark Ruffalo', 'Ben Kingsley', 'Michelle Williams', 'Emily Mortimer', 'Patricia Clarkson']",Martin Scorsese,"['Drama', 'Thriller', 'Mystery']","['Phoenix Pictures', 'Paramount', 'Appian Way', 'Sikelia Productions', 'Mandate International']"
Cop Out,2010,tt1385867,https://m.media-amazon.com/images/M/MV5BMTk0NzcxMjYwNF5BMl5BanBnXkFtZTcwMTI4MTIxMw@@._V1_.jpg,23742,"['Bruce Willis', 'Tracy Morgan', 'Seann William Scott', 'Ana de la Reguera', 'Adam Brody', 'Kevin Pollak']",Kevin Smith,"['Action', 'Comedy', 'Crime']",['Marc Platt Productions']
The Crazies,2010,tt0455407,https://m.media-amazon.com/images/M/MV5BMjAzMDU5OTg0NV5BMl5BanBnXkFtZTcwNDQ4MjcwMw@@._V1_.jpg,29427,"['Timothy Olyphant', 'Radha Mitchell', 'Joe Anderson', 'Danielle Panabaker', 'Joe Reegan', 'Glenn Morshower']",Breck Eisner,"['Mystery', 'Horror', 'Action']","['Penn Station Entertainment', 'Participant', 'Overture Films', 'Imagenation Abu Dhabi FZ', 'Paramount Vantage']"
Alice in Wonderland,2010,tt1014759,https://m.media-amazon.com/images/M/MV5BMTMwNjAxMTc0Nl5BMl5BanBnXkFtZTcwODc3ODk5Mg@@._V1_.jpg,12155,"['Mia Wasikowska', 'Johnny Depp', 'Anne Hathaway', 'Helena Bonham Carter', 'Crispin Glover', 'Matt Lucas']",Tim Burton,"['Family', 'Fantasy', 'Adventure']","['Walt Disney Pictures', 'Roth Films', 'Team Todd', 'Tim Burton Productions', 'The Zanuck Company']"
Green Zone,2010,tt0947810,https://m.media-amazon.com/images/M/MV5BMTYzMTA1NDMyNV5BMl5BanBnXkFtZTcwMzUwODY5Mg@@._V1_.jpg,22972,"['Matt Damon', 'Greg Kinnear', 'Brendan Gleeson', 'Amy Ryan', 'Khalid Abdalla', 'Jason Isaacs']",Paul Greengrass,"['War', 'Action', 'Adventure', 'Drama', 'Thriller']","['Universal Pictures', 'StudioCanal', 'Relativity Media', 'Working Title Films', 'dentsu', 'Atresmedia', 'Kanzaman Productions']"
Our Family Wedding,2010,tt1305583,https://m.media-amazon.com/images/M/MV5BMTI4MDU1MzY3N15BMl5BanBnXkFtZTcwNTYzMTUxMw@@._V1_.jpg,34563,"['Forest Whitaker', 'America Ferrera', 'Carlos Mencia', 'Regina King', 'Lance Gross', 'Diana Maria Riva']",Rick Famuyiwa,['Comedy'],"['Pointe Studios', 'Fox Searchlight Pictures', 'Sneak Preview Entertainment', 'Dune Entertainment']"
Remember Me,2010,tt1403981,https://m.media-amazon.com/images/M/MV5BOTA4MTg1ODkwNF5BMl5BanBnXkFtZTcwMzE5ODAxMw@@._V1_.jpg,23169,"['Robert Pattinson', 'Emilie de Ravin', 'Pierce Brosnan', 'Lena Olin', 'Chris Cooper', 'Ruby Jerins']",Allen Coulter,"['Drama', 'Romance']",['Summit Entertainment']
She's Out of My League,2010,tt0815236,https://m.media-amazon.com/images/M/MV5BMTkwMTY5ODA1MF5BMl5BanBnXkFtZTcwODYyNzAxMw@@._V1_.jpg,34016,"['Jay Baruchel', 'Alice Eve', 'T.J. Miller', 'Nate Torrence', 'Mike Vogel', 'Lindsay Sloane']",Jim Field Smith,"['Romance', 'Comedy']","['Mosaic', 'DreamWorks Pictures']"
